Title,Subtitle,Price,Area
                        Apartment Amstelveenseweg 162 C                            ,"
            1075 XN Amsterdam (Schinkelbuurt)
        ","                €3,000 per month            ",120 m²
                        Apartment Jan Evertsenstraat 8 2                            ,"
            1056 EC Amsterdam (Geuzenbuurt)
        ","                €1,700 per month            ",60 m²
                        Apartment Rietlandpark                            ,"
            1019 DR Amsterdam (Oostelijk Havengebied)
        ","                €2,950 per month            ",120 m²
                        Apartment Jan Evertsenstraat                            ,"
            1057 BT Amsterdam (Hoofdweg e.o.)
        ","                €3,750 per month            ",95 m²
                        Apartment Brouwersgracht                            ,"
            1013 HD Amsterdam (Haarlemmerbuurt)
        ","                €2,450 per month            ",85 m²
                        Apartment Leidsekade                            ,"
            1016 CZ Amsterdam (Jordaan)
        ","                €2,495 per month            ",105 m²
                        Apartment Venetiëhof                            ,"
            1019 ND Amsterdam (Oostelijk Havengebied)
        ","                €1,950 per month            ",90 m²
                        Apartment Jan van Galenstraat 179 H                            ,"
            1056 BS Amsterdam (Van Galenbuurt)
        ","                €1,850 per month            ",76 m²
                        House Nassaukade                            ,"
            1054 AB Amsterdam (Helmersbuurt)
        ","                €1,850 per month            ",55 m²
                        House Prinsengracht                            ,"
            1016 JA Amsterdam (Jordaan)
        ","                €4,750 per month            ",181 m²
                        Apartment Prinsengracht                            ,"
            1015 DV Amsterdam (Jordaan)
        ","                €3,250 per month            ",100 m²
                        Apartment Weesperzijde                            ,"
            1091 EJ Amsterdam (Weesperzijde)
        ","                €1,850 per month            ",55 m²
                        Apartment Sanderijnstraat 41 1                            ,"
            1055 BP Amsterdam (Erasmuspark)
        ","                €1,750 per month            ",51 m²
                        Apartment Cornelis van Rijplantsoen 4                            ,"
            1063 MC Amsterdam (Slotermeer-Noordoost)
        ","                €1,850 per month            ",95 m²
                        House Simon Stevinstraat 33 hs                            ,"
            1097 BX Amsterdam (Frankendael)
        ","                €3,250 per month            ",138 m²
                        Apartment Van Noordtkade 7 II                            ,"
            1013 BZ Amsterdam (Spaarndammer- en Zeeheldenbuurt)
        ","                €2,550 per month            ",86 m²
                        Apartment Wilhelminastraat                            ,"
            1054 WB Amsterdam (Overtoomse Sluis)
        ","                €2,950 per month            ",106 m²
                        Apartment Frans Halsstraat 87 C                            ,"
            1072 BP Amsterdam (Oude Pijp)
        ","                €1,850 per month            ",60 m²
                        Apartment Botticellistraat 2 2                            ,"
            1077 GA Amsterdam (Apollobuurt)
        ","                €2,395 per month            ",200 m²
                        Apartment Emmy Andriessestraat                            ,"
            1087 NE Amsterdam (IJburg Zuid)
        ","                €1,616 per month            ",105 m²
                        Apartment Westerstraat                            ,"
            1015 ML Amsterdam (Jordaan)
        ","                €1,699 per month            ",50 m²
                        Apartment Maasstraat                            ,"
            1079 BE Amsterdam (Scheldebuurt)
        ","                €2,400 per month            ",95 m²
                        Apartment Vinkenstraat                            ,"
            1013 JM Amsterdam (Haarlemmerbuurt)
        ","                €2,250 per month            ",48 m²
                        Apartment Olympiaplein 19 BV                            ,"
            1077 CK Amsterdam (Apollobuurt)
        ","                €4,500 per month            ",200 m²
                        Apartment H. Gerhardstraat                            ,"
            1069 TD Amsterdam (Osdorp-Midden)
        ","                €1,700 per month            ",58 m²
                        Apartment Wijenburg 171                            ,"
            1082 VS Amsterdam (Buitenveldert-West)
        ","                €1,700 per month            ",67 m²
                        Apartment Sint Willibrordusstraat                            ,"
            1073 VA Amsterdam (Nieuwe Pijp)
        ","                €1,595 per month            ",45 m²
                        Apartment Plantage Kerklaan 22 III+IV                            ,"
            1018 TB Amsterdam (Weesperbuurt/Plantage)
        ","                €2,500 per month            ",120 m²
                        Apartment Ladogameerhof 270                            ,"
            1060 RG Amsterdam (Middelveldsche Akerpolder)
        ","                €1,700 per month            ",86 m²
                        Apartment Wijttenbachstraat                            ,"
            1093 JD Amsterdam (Dapperbuurt)
        ","                €1,950 per month            ",56 m²
                        Apartment Legmeerstraat                            ,"
            1058 NA Amsterdam (Hoofddorppleinbuurt)
        ","                €2,150 per month            ",75 m²
